,GameSno,FieldAbbe,VisitingTeamName,HomeTeamName,VisitingScore,HomeScore,AudienceCnt,Year,Date,Weekdays,HeadUmpire,GameTime,EndTime,WeatherDesc,MVPname,RainPct,Temperature,Angels
1,3,樂天桃園,富邦悍將,樂天桃猿,3,3,11118,2023,2023/4/2,星期日,張展榮,273,21:52:00,多雲。降雨機率 10%。溫度攝氏23度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度60%。,黃子鵬,10,23,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮"
2,21,樂天桃園,味全龍,樂天桃猿,8,3,7651,2023,2023/4/14,星期五,紀華文,220,22:15:00,晴。降雨機率 10%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度67%。,劉基鴻,10,25,"菲菲,苡萱,孟潔,岱縈,Yuri,凱莉絲,陳伊,卉妮,語芯,穎樂,小紫,宋宋,十元,禹菡,儷軒,李多慧 "
3,23,樂天桃園,味全龍,樂天桃猿,5,4,8562,2023,2023/4/15,星期六,蘇建文,210,20:35:00,陰。降雨機率 40%。溫度攝氏22度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度79%。,鋼龍,40,22,"苡萱,筠熹,慧慧,卉妮,語芯,小紫,嘎琳,十元,雅涵,熊霓,李昀,心韻,凱伊,Kira,李多慧"
4,25,樂天桃園,味全龍,樂天桃猿,4,0,7742,2023,2023/4/16,星期日,邱景彥,196,17:20:00,晴。降雨機率 0%。溫度攝氏28度。舒適。西北風 平均風速1-2級(每秒3公尺)。相對濕度56%。,林智勝,0,28,"菲菲,孟潔,岱縈,筠熹,琳妲,小紫,嘎琳,宋宋,十元,熊霓,李昀,儷軒,Kira,李多慧  "
5,40,樂天桃園,富邦悍將,樂天桃猿,1,3,3534,2023,2023/4/25,星期二,邱景彥,190,22:40:00,短暫雨。降雨機率 30%。溫度攝氏22度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,陳克羿,30,22,"巫苡萱,小紫,宋宋,筠熹,卉妮,陳伊,穎樂,熊霓,Kira,慧慧,若潼,李昀,儷軒,十元"
6,42,樂天桃園,中信兄弟,樂天桃猿,15,6,4742,2023,2023/4/26,星期三,蔡豐澤,241,22:35:00,多雲。降雨機率 20%。溫度攝氏19度。稍有寒意。偏東風 平均風速3-4級(每秒6公尺)。相對濕度80%。,張志豪,20,19,"嘎琳,小紫,阿布舞,宋宋,儷軒,語芯,卉妮,陳伊,穎樂,心韻,若潼,岱縈,芷軒,琳妲"
7,44,樂天桃園,中信兄弟,樂天桃猿,4,6,4810,2023,2023/4/27,星期四,林金達,191,21:46:00,多雲。降雨機率 0%。溫度攝氏24度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,朱育賢,0,24,"巫苡萱,嘎琳,儷軒,語芯,陳伊,穎樂,Yuri,菲菲,若潼,凱莉絲,十元,岱縈,曲曲,芷軒"
8,46,樂天桃園,中信兄弟,樂天桃猿,4,7,8435,2023,2023/4/28,星期五,蘇建文,233,22:28:00,晴。降雨機率 0%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,威達爾,0,25,"巫苡萱,小紫,筠熹,卉妮,陳伊,穎樂,Yuri,Kira,菲菲,心韻,慧慧,岱縈,芷軒,琳妲 "
9,51,樂天桃園,富邦悍將,樂天桃猿,8,1,3972,2023,2023/5/2,星期二,王俊宏,200,21:54:00,晴。降雨機率 0%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,陳仕朋,0,26,"嘎琳,語芯,卉妮,陳伊,Yuri,熊霓,心韻,雅涵,慧慧,若潼,禹菡,凱莉絲,十元,曲曲 "
10,53,樂天桃園,富邦悍將,樂天桃猿,1,2,4530,2023,2023/5/3,星期三,紀華文,152,21:06:00,晴。降雨機率 0%。溫度攝氏26度。舒適。西南風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,廖健富,0,26,"巫苡萱,嘎琳,小紫,卉妮,陳伊,熊霓,Kira,菲菲,慧慧,若潼,凱莉絲,十元,岱縈,李多慧,芷軒"
11,55,樂天桃園,中信兄弟,樂天桃猿,6,11,6105,2023,2023/5/4,星期四,邱景彥,199,21:54:00,多雲。降雨機率 0%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度75%。,廖健富,0,27,"巫苡萱,嘎琳,小紫,宋宋,語芯,陳伊,Yuri,熊霓,菲菲,岱縈,曲曲,李多慧,芷軒,琳妲"
12,60,樂天桃園,味全龍,樂天桃猿,8,5,11234,2023,2023/5/6,星期六,陳均瑋,231,21:00:00,多雲。降雨機率 20%。溫度攝氏29度。舒適。西南風 平均風速1-2級(每秒3公尺)。相對濕度54%。,劉基鴻,20,29,"嘎琳,小紫,宋宋,筠熹,穎樂,熊霓,若潼,李昀,禹菡,凱莉絲,十元,李多慧,芷軒,凱伊,林襄"
13,75,樂天桃園,統一7-ELEVEn獅,樂天桃猿,2,4,3858,2023,2023/5/16,星期二,楊崇煇,184,21:38:00,晴。降雨機率 20%。溫度攝氏26度。舒適。西南風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,郭嚴文,20,26,"嘎琳,宋宋,筠熹,儷軒,穎樂,菲菲,心韻,雅涵,若潼,李昀,禹菡,十元,芷軒,琳妲 "
14,77,樂天桃園,統一7-ELEVEn獅,樂天桃猿,0,1,3895,2023,2023/5/17,星期三,張展榮,160,21:15:00,晴。降雨機率 10%。溫度攝氏28度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,威達爾,10,28,"巫苡萱,嘎琳,宋宋,筠熹,卉妮,穎樂,Kira,菲菲,心韻,若潼,凱莉絲,十元,岱縈,凱伊"
15,79,樂天桃園,味全龍,樂天桃猿,3,9,3841,2023,2023/5/18,星期四,尤志欽,196,21:51:00,晴。降雨機率 20%。溫度攝氏29度。舒適。偏西風 平均風速4-5級(每秒8公尺)。相對濕度68%。,林泓育,20,29,"巫苡萱,嘎琳,小紫,語芯,卉妮,陳伊,穎樂,孟潔,若潼,凱莉絲,籃籃,岱縈,曲曲,琳妲"
16,84,樂天桃園,中信兄弟,樂天桃猿,6,3,11469,2023,2023/5/20,星期六,蘇建文,228,20:53:00,多雲。降雨機率 20%。溫度攝氏26度。舒適。西北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,陳文杰,20,26,"嘎琳,宋宋,筠熹,儷軒,語芯,陳伊,穎樂,孟潔,心韻,慧慧,李昀,禹菡,籃籃,十元,岱縈,李多慧,琳妲"
17,86,樂天桃園,富邦悍將,樂天桃猿,2,0,6758,2023,2023/5/21,星期日,陳均瑋,192,20:23:00,多雲。降雨機率 20%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度78%。,肯特,20,29,"巫苡萱,宋宋,筠熹,卉妮,陳伊,穎樂,菲菲,雅涵,李昀,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊 "
18,89,樂天桃園,統一7-ELEVEn獅,樂天桃猿,3,1,4399,2023,2023/5/24,星期三,王俊宏,227,23:12:00,多雲。降雨機率 20%。溫度攝氏25度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,林安可,20,25,"巫苡萱,孟潔,曲曲,筠熹,凱莉絲,卉妮,陳伊,琳妲,小紫,嘎琳,十元,禹菡,凱伊,李多慧,語芯"
19,91,樂天桃園,統一7-ELEVEn獅,樂天桃猿,9,4,4463,2023,2023/5/25,星期四,邱景彥,192,21:47:00,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,蘇智傑,20,26,"嘎琳,宋宋,筠熹,儷軒,語芯,卉妮,Kira,心韻,慧慧,李昀,禹菡,十元,曲曲,李多慧"
20,93,樂天桃園,統一7-ELEVEn獅,樂天桃猿,7,0,7346,2023,2023/5/26,星期五,彭楚雲,184,21:39:00,晴。降雨機率 0%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,克維斯,0,27,"巫苡萱,嘎琳,宋宋,筠熹,儷軒,卉妮,陳伊,心韻,慧慧,禹菡,凱莉絲,十元,曲曲,李多慧,琳妲"
21,104,樂天桃園,富邦悍將,樂天桃猿,7,5,6606,2023,2023/6/2,星期五,吳家維,240,22:35:00,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,李宗賢,20,29,"小紫,筠熹,卉妮,陳伊,穎樂,孟潔,Yuri,菲菲,若潼,禹菡,凱莉絲,岱縈,曲曲,琳妲"
22,106,樂天桃園,富邦悍將,樂天桃猿,2,8,11374,2023,2023/6/3,星期六,楊崇煇,220,20:45:00,午後短暫雷陣雨。降雨機率 30%。溫度攝氏31度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度85%。,曾仁和,30,31,"嘎琳,小紫,宋宋,筠熹,語芯,卉妮,熊霓,慧慧,凱莉絲,籃籃,曲曲,琳妲 "
23,108,樂天桃園,富邦悍將,樂天桃猿,10,7,8143,2023,2023/6/4,星期日,江春緯,246,21:11:00,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度73%。,王正棠,20,30,"巫苡萱,小紫,宋宋,筠熹,語芯,陳伊,穎樂,心韻,慧慧,岱縈,曲曲,琳妲"
24,126,樂天桃園,味全龍,樂天桃猿,8,1,4233,2023,2023/6/15,星期四,尤志欽,216,22:12:00,多雲。降雨機率 20%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度83%。,劉基鴻,20,27,"巫苡萱,嘎琳,小紫,阿布舞,穎樂,熊霓,菲菲,雅涵,若潼,李昀,禹菡,凱莉絲,十元,芷軒 "
25,129,樂天桃園,中信兄弟,樂天桃猿,2,2,9323,2023,2023/6/17,星期六,羅鈞鴻,281,23:17:00,陰。降雨機率 10%。溫度攝氏29度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,馮健庭,10,29,"巫苡萱,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,熊霓,菲菲,心韻,若潼,李昀,凱莉絲,十元,岱縈 "
26,136,樂天桃園,統一7-ELEVEn獅,樂天桃猿,10,1,10234,2023,2023/6/22,星期四,王俊宏,204,20:29:00,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,勝騎士,20,31,"嘎琳,阿布舞,宋宋,筠熹,卉妮,陳伊,林穎樂,孟潔,菲菲,雅涵,慧慧,若潼,凱莉絲,岱縈,芷軒,林襄,李多慧"
27,143,樂天桃園,統一7-ELEVEn獅,樂天桃猿,5,6,8212,2023,2023/6/25,星期日,林金達,251,21:16:00,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度69%。,余德龍,20,32,"巫苡萱,小紫,阿布舞,筠熹,語芯,卉妮,陳伊,林穎樂,熊霓,菲菲,雅涵,岱縈,曲曲,凱伊,溫妮,李多慧"
28,124,樂天桃園,味全龍,樂天桃猿,2,5,4526,2023,2023/6/29,星期四,蔡豐澤,210,22:05:00,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏西風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,陳晨威,20,30,"巫苡萱,嘎琳,小紫,阿布舞,林穎樂,熊霓,菲菲,心韻,慧慧,李昀,禹菡,凱莉絲,芷軒,琳妲"
29,127,樂天桃園,中信兄弟,樂天桃猿,0,6,5557,2023,2023/6/30,星期五,尤志欽,178,21:33:00,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度76%。,曾仁和,30,30,"巫苡萱,嘎琳,小紫,阿布舞,林穎樂,Kira,心韻,慧慧,若潼,李昀,禹菡,十元,岱縈,芷軒"
30,62,樂天桃園,統一7-ELEVEn獅,樂天桃猿,6,3,7441,2023,2023/7/2,星期日,邱景彥,198,21:46:00,午後短暫雷陣雨。降雨機率 90%。溫度攝氏33度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度70%。,郭阜林,90,33,"巫苡萱,宋宋,筠熹,林儷軒,Kira,心韻,雅涵,若潼,十元,凱伊,禹菡 "
31,164,樂天桃園,統一7-ELEVEn獅,樂天桃猿,7,8,10364,2023,2023/7/21,星期五,蘇建文,233,22:28:00,多雲。降雨機率 30%。溫度攝氏31度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,郭永維,30,31,"嘎琳,筠熹,儷軒,語芯,卉妮,陳伊,孟潔,菲菲,心韻,慧慧,若潼,禹菡,溫妮,芷軒"
32,166,樂天桃園,統一7-ELEVEn獅,樂天桃猿,4,10,9712,2023,2023/7/22,星期六,張展榮,223,20:48:00,多雲。降雨機率 30%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度76%。,陳俊秀,30,33,"小紫,阿布舞,宋宋,筠熹,穎樂,熊霓,Kira,菲菲,心韻,慧慧,若潼,彩香,凱莉絲,籃籃,凱伊 "
33,168,樂天桃園,統一7-ELEVEn獅,樂天桃猿,5,4,7452,2023,2023/7/23,星期日,蔡豐澤,220,20:45:00,陰。降雨機率 30%。溫度攝氏33度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度70%。,陳傑憲,30,33,"小紫,阿布舞,宋宋,陳伊,穎樂,Yuri,熊霓,彩香,凱莉絲,籃籃,十元,曲曲,芷軒,林襄,溫妮"
34,188,樂天桃園,中信兄弟,樂天桃猿,11,3,6106,2023,2023/8/8,星期二,王俊宏,214,22:10:00,陰。降雨機率 10%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度73%。,張志豪,10,31,"巫苡萱,嘎琳,小紫,阿布舞,語芯,穎樂,孟潔,熊霓,Kira,菲菲,心韻,岱縈,溫妮,琳妲 "
35,190,樂天桃園,富邦悍將,樂天桃猿,3,5,5184,2023,2023/8/9,星期三,紀華文,199,21:54:00,晴。降雨機率 20%。溫度攝氏32度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度64%。,陳克羿,20,32,"巫苡萱,小紫,阿布舞,卉妮,陳伊,穎樂,菲菲,心韻,雅涵,慧慧,岱縈,曲曲,凱伊,林襄"
36,200,樂天桃園,中信兄弟,樂天桃猿,5,11,7574,2023,2023/8/15,星期二,紀華文,187,21:43:00,晴。降雨機率 10%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度69%。,霍爾,10,31,"阿布舞,宋宋,筠熹,儷軒,穎樂,熊霓,Kira,菲菲,雅涵,慧慧,李昀,凱莉絲,十元,李多慧,琳妲  "
37,202,樂天桃園,中信兄弟,樂天桃猿,1,3,5624,2023,2023/8/16,星期三,江春緯,170,21:26:00,陰。降雨機率 20%。溫度攝氏29度。悶熱。西南風 平均風速3-4級(每秒6公尺)。相對濕度81%。,陳克羿,20,29,"阿布舞,筠熹,陳伊,穎樂,菲菲,雅涵,慧慧,若潼,李昀,十元,岱縈,李多慧,凱伊,溫妮"
38,207,樂天桃園,統一7-ELEVEn獅,樂天桃猿,10,6,10868,2023,2023/8/19,星期六,林金達,212,21:14:00,短暫陣雨或雷雨。降雨機率 60%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,郭阜林,60,31,"巫苡萱,阿布舞,筠熹,語芯,陳伊,Yuri,熊霓,慧慧,若潼,禹菡,凱莉絲,籃籃,李多慧,芷軒,凱伊,溫妮,琳妲  "
39,209,樂天桃園,味全龍,樂天桃猿,4,0,9043,2023,2023/8/20,星期日,蘇建文,212,20:37:00,午後短暫雷陣雨。降雨機率 30%。溫度攝氏31度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度75%。,布里悍,30,31,"巫苡萱,阿布舞,宋宋,筠熹,語芯,卉妮,陳伊,Yuri,熊霓,慧慧,李昀,凱莉絲,籃籃,十元,曲曲,李多慧,芷軒"
40,192,樂天桃園,富邦悍將,樂天桃猿,3,8,5791,2023,2023/8/28,星期一,彭楚雲,216,22:12:00,晴。降雨機率 10%。溫度攝氏30度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,林子偉,10,30,"曲曲,凱莉絲,慧慧,卉妮,陳伊,琳妲,穎樂,阿布舞,十元,熊霓,李昀,心韻,Kira,禹菡   "
41,223,樂天桃園,味全龍,樂天桃猿,5,6,4738,2023,2023/8/29,星期二,吳家維,205,22:01:00,晴。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度64%。,林承飛,20,31,"嘎琳,阿布舞,宋宋,筠熹,語芯,陳伊,穎樂,熊霓,菲菲,慧慧,若潼,凱莉絲,曲曲,琳妲"
42,225,樂天桃園,味全龍,樂天桃猿,2,5,4483,2023,2023/8/30,星期三,紀華文,202,21:58:00,多雲。降雨機率 10%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度74%。,黃子鵬,10,31,"嘎琳,阿布舞,宋宋,語芯,卉妮,穎樂,菲菲,心韻,慧慧,若潼,凱莉絲,岱縈,曲曲,凱伊,琳妲"
43,227,樂天桃園,統一7-ELEVEn獅,樂天桃猿,7,8,4517,2023,2023/8/31,星期四,林金達,244,22:39:00,晴。降雨機率 10%。溫度攝氏30度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度78%。,陳俊秀,10,30,"嘎琳,小紫,阿布舞,宋宋,筠熹,穎樂,熊霓,菲菲,慧慧,禹菡,十元,岱縈,曲曲,琳妲"
44,232,樂天桃園,富邦悍將,樂天桃猿,1,10,11052,2023,2023/9/2,星期六,江春緯,218,20:43:00,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度64%。,朱育賢,30,33,"小紫,阿布舞,宋宋,卉妮,陳伊,Yuri,熊霓,菲菲,心韻,慧慧,若潼,李昀,禹菡,籃籃,十元,溫妮 "
45,236,樂天桃園,中信兄弟,樂天桃猿,7,5,4502,2023,2023/9/5,星期二,楊崇煇,209,22:58:00,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。偏西風 平均風速<= 1級(每秒0公尺)。相對濕度83%。,艾士特,30,29,"小紫,阿布舞,宋宋,筠熹,陳伊,穎樂,熊霓,Kira,心韻,慧慧,若潼,禹菡,十元,曲曲,李多慧 "
46,240,樂天桃園,味全龍,樂天桃猿,6,3,4755,2023,2023/9/7,星期四,蘇建文,210,22:05:00,短暫陣雨或雷雨。降雨機率 30%。溫度攝氏28度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度83%。,林智勝,30,28,"嘎琳,阿布舞,陳伊,穎樂,孟潔,菲菲,慧慧,若潼,禹菡,凱莉絲,岱縈,曲曲,溫妮,琳妲"
47,242,樂天桃園,味全龍,樂天桃猿,4,2,7305,2023,2023/9/8,星期五,羅鈞鴻,201,21:57:00,多雲。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,李凱威,20,27,"嘎琳,小紫,阿布舞,宋宋,語芯,卉妮,Kira,菲菲,雅涵,岱縈,曲曲,李多慧,溫妮,琳妲"
48,238,樂天桃園,味全龍,樂天桃猿,1,7,6142,2023,2023/9/11,星期一,尤志欽,185,21:41:00,晴。降雨機率 0%。溫度攝氏27度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度70%。,曾仁和,0,27,"小紫,阿布舞,宋宋,卉妮,Yuri,菲菲,心韻,慧慧,若潼,李昀,禹菡,凱莉絲,十元,凱伊 "
49,253,樂天桃園,中信兄弟,樂天桃猿,5,3,6711,2023,2023/9/15,星期五,蘇建文,223,22:18:00,多雲。降雨機率 10%。溫度攝氏28度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,呂彥青,10,28,"陳伊,宋宋,筠熹,儷軒,語芯,卉妮,熊霓,李昀,十元,岱縈,曲曲,李多慧,溫妮,琳妲"
50,255,樂天桃園,中信兄弟,樂天桃猿,9,4,13216,2023,2023/9/16,星期六,紀華文,228,20:54:00,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度66%。,陳子豪,20,31,"巫苡萱,嘎琳,小紫,阿布舞,宋宋,熊霓,菲菲,若潼,籃籃,十元,岱縈,凱伊,琳妲"
51,257,樂天桃園,中信兄弟,樂天桃猿,3,4,10155,2023,2023/9/17,星期日,江春緯,182,20:09:00,多雲。降雨機率 30%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度69%。,黃子鵬,30,30,"巫苡萱,嘎琳,宋宋,卉妮,陳伊,穎樂,孟潔,Kira,菲菲,慧慧,凱莉絲,籃籃,十元,岱縈,曲曲,琳妲"
52,275,樂天桃園,統一7-ELEVEn獅,樂天桃猿,1,6,5184,2023,2023/9/28,星期四,楊崇煇,167,21:23:00,NA,威能帝,,,"嘎琳,小紫,阿布舞,筠熹,語芯,陳伊,Yuri,慧慧,若潼,李昀,禹菡,凱莉絲,岱縈,凱伊 "
53,277,樂天桃園,統一7-ELEVEn獅,樂天桃猿,8,0,7067,2023,2023/9/29,星期五,蘇建文,179,20:05:00,NA,布雷克,,,"巫苡萱,嘎琳,小紫,阿布舞,儷軒,語芯,陳伊,Yuri,慧慧,凱莉絲,岱縈,芷軒,溫妮,琳妲"
54,288,樂天桃園,味全龍,樂天桃猿,3,4,6255,2023,2023/10/6,星期五,蘇建文,202,23:35:00,NA,余德龍,,,"巫苡萱,阿布舞,宋宋,筠熹,語芯,陳伊,穎樂,孟潔,禹菡,凱莉絲,十元,李多慧,曲曲,芷軒,凱伊,溫妮 "
55,292,樂天桃園,富邦悍將,樂天桃猿,4,2,9296,2023,2023/10/8,星期日,邱景彥,232,20:58:00,NA,恩力,,,"琳妲,苡萱,嘎琳,小紫,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,孟潔,Yuri,熊霓,Kira,菲菲,心韻,雅涵,慧慧,若潼,李昀,禹菡,凱莉絲,籃籃,十元,岱縈,曲曲,李多慧,芷軒,凱伊,林襄,溫妮"
56,294,樂天桃園,富邦悍將,樂天桃猿,4,5,9104,2023,2023/10/9,星期一,張展榮,219,20:44:00,NA,林承飛,,,"巫苡萱,阿布舞,宋宋,筠熹,卉妮,陳伊,熊霓,菲菲,慧慧,籃籃,十元,岱縈,曲曲,李多慧,凱伊"
57,290,樂天桃園,味全龍,樂天桃猿,8,5,8655,2023,2023/10/15,星期日,江春緯,231,19:51:00,NA,徐若熙,,,"巫苡萱,嘎琳,阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,熊霓,Kira,菲菲,心韻,慧慧,若潼,李昀,禹菡,凱莉絲,十元,岱縈,曲曲,芷軒,凱伊,溫妮,琳妲"
58,234,樂天桃園,中信兄弟,樂天桃猿,9,11,11139,2023,2023/10/22,星期日,王俊宏,245,21:11:00,NA,馬傑森,,,"小紫,阿布舞,筠熹,儷軒,語芯,穎樂,孟潔,熊霓,Kira,菲菲,慧慧,心韻,李昀,曲曲,凱伊,溫妮,琳妲 "
59,194,樂天桃園,富邦悍將,樂天桃猿,2,5,6562,2023,2023/10/23,星期一,江春緯,198,21:54:00,NA,林智平,,,"阿布舞,宋宋,筠熹,儷軒,語芯,卉妮,陳伊,穎樂,心韻,慧慧,十元,凱莉絲,溫妮,琳妲"
60,204,樂天桃園,富邦悍將,樂天桃猿,7,3,7477,2023,2023/10/24,星期二,蘇建文,189,21:44:00,NA,江國豪,,,"小紫,卉妮,陳伊,孟潔,熊霓,菲菲,心韻,慧慧,李昀,禹菡,凱莉絲,十元,曲曲,溫妮 "
